Timestamp,Region,Model,rtReserveTime or preorder-email time ,Initial Valve Estimate,update 1 (Someone have a date for when Valve updated it?),When did you receive your ready to order email?
2/10/2022 8:38:02,EU,512,1626459138,Q1,Q2,
2/10/2022 8:45:04,EU,512,1626455384,December,Q1,
2/10/2022 8:50:35,EU,512,1626455606,December,Q1,
2/10/2022 8:54:19,EU,256,1626455921,December,Q1,
2/10/2022 8:52:17,EU,256,1626568517,Q1,Q2,
2/10/2022 8:56:55,EU,512,1626457295,Q1,Q2,
2/10/2022 9:07:31,EU,64,1626477344,December,Q1,
2/10/2022 9:09:23,EU,256,1626675546,Q2,Q2,
2/10/2022 9:12:53,US,512,1626456626,Q1,Q2,
2/10/2022 9:15:05,US,512,1626457623,Q1,Q2,
2/10/2022 9:15:42,EU,512,1657999086,Q1,Q1,1657999140
2/10/2022 9:16:01,US,256,1626455297,Q1,Q1,
2/10/2022 9:16:30,EU,256,1626455520,December,Q1,
2/10/2022 9:29:57,EU,256,1626502872,Q1,Q2,
2/10/2022 9:36:29,EU,512,1626455552,December,Q1,
2/10/2022 9:43:05,EU,512,1626455387,December,Q1,
2/10/2022 9:44:04,EU,256,1626455160,December,Q1,
2/10/2022 9:48:35,EU,256,1626455708,December,Q1,
2/10/2022 9:50:14,EU,256,1644508060000,Q2,Q2,
2/10/2022 9:55:09,EU,512,1626459376,Q1,Q2,
2/10/2022 9:59:30,US,256,1626454838,December,Q1,
2/10/2022 10:03:41,EU,256,1626459899,Q1,Q2,
2/10/2022 10:11:22,EU,256,1626460557,Q1,Q2,
2/10/2022 10:13:46,EU,256,1626544821,Q1,Q2,
2/10/2022 10:14:43,US,512,1626458392,Q1,Q2,
2/10/2022 10:19:12,EU,512,1626456025,Q1,Q1,
2/10/2022 10:24:06,EU,256,1631041680,Q1,After Q2,
2/10/2022 10:25:24,US,256,1626455651,Q1,Q2,
2/10/2022 10:29:13,EU,256,1626643969,Q1,Q2,
2/10/2022 10:29:56,EU,512,1639048289,Q2,After Q2,
2/10/2022 10:37:38,EU,512,1626462759,Q1,Q2,
2/10/2022 10:44:12,EU,256,1626977521,Q1,Q2,220720212011
2/10/2022 10:40:12,EU,256,1626685301,Q1,Q2,
